,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,ValueDecimal,BSC Hash,Type,Destination
92,12546298,1622519698,0xc80c7e4667a9703599fa20262d09784f6c9eb97f02f60fc8c4dc55434769e2d2,15,0x8e7f7012061273c0fdf3968ca87863e9d62742d2f7b83e115cd0d5f769747517,0x46aaa27dbc0c4d4d1c8afb81e7e032d44e0fde36,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,12105584884.0,USD Coin,USDC,6,119,114687,25000000000,92218,6575803,deprecated,1973,12105.584884,0x04cc20070cf9aea1070b2c074330097674476ce028d696e9167c4a9f55e73648,,Polygon
97,12546301,1622519743,0x70d3abf8915080f00964e6293319283f622f5da8f1991a990c81015fbea29aeb,16,0x779d253270c04d728dafb26209810156a9af36da3394d6e4c902ab4e0b3d48af,0x95c2ec97903c993efbe4630f1535282a12fead98,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,4655000000.0,USD Coin,USDC,6,182,114687,20000000000,92218,11747207,deprecated,1970,4655.0,0x9926c941d4d713e88fb995f0bf600c88863fc51b4018677b44f971b9082a009b,,Polygon
173,12546394,1622520937,0x4826eca2a9e918590b397eb239773a1ab36593c3d1f74eac68626e660f2a9562,1,0xf1990605b7dc33681d19cbd8ff61e457e2848da4a8d9030730786298cc9facaa,0x74f40d36f515ae1849e46d900648565b0bda0841,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,3969047721.0,USD Coin,USDC,6,55,114675,17000000000,92206,2873709,deprecated,1877,3969.047721,0xcea76fbf6d5c50f067e092085f41e7ebb2fbb9d8b1d235fa64e818d17c5b5ddc,,Polygon
